date,home_team,away_team,market,selection,american_odds,closing_american_odds,book,notes
2026-08-21,Arsenal,Coventry,1x2,away,1300,,BetMGM,the_odds_api event eb2553d10d63dc912b99f8fd0d675721; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Brentford,Tottenham,total_2_5,under,116,,MyBookie.ag,the_odds_api event 8b4b033209bb204516cbd1f523614f25; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,away,220,,BetMGM,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,draw,240,,BetMGM,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,home,110,,BetMGM,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,no,105,,BetMGM,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,yes,-145,,BetMGM,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,over,-120,,BetMGM,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,under,-115,,BetMGM,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,away,245,,BetOnline.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,draw,245,,BetOnline.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,home,120,,BetOnline.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,over,-105,,BetOnline.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,under,-111,,BetOnline.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betonlineag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,away,235,,BetRivers,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,draw,240,,BetRivers,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,home,120,,BetRivers,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,no,106,,BetRivers,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,yes,-143,,BetRivers,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,over,-112,,BetRivers,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,under,-114,,BetRivers,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betrivers; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,away,220,,BetUS,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,draw,240,,BetUS,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,home,110,,BetUS,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,over,-110,,BetUS,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,under,-110,,BetUS,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker betus; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,away,235,,Bovada,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,draw,245,,Bovada,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,home,115,,Bovada,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,over,-110,,Bovada,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,under,-110,,Bovada,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker bovada; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,away,235,,DraftKings,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,draw,240,,DraftKings,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,home,115,,DraftKings,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,no,115,,DraftKings,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,yes,-150,,DraftKings,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker draftkings; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,away,230,,FanDuel,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,draw,230,,FanDuel,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,home,115,,FanDuel,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,no,114,,FanDuel,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,yes,-144,,FanDuel,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker fanduel; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,away,245,,LowVig.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,draw,245,,LowVig.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,home,120,,LowVig.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,over,-105,,LowVig.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,under,-111,,LowVig.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker lowvig; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,away,228,,MyBookie.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,draw,232,,MyBookie.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,1x2,home,111,,MyBookie.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,no,102,,MyBookie.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,btts,yes,-141,,MyBookie.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,over,-116,,MyBookie.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Everton,Crystal Palace,total_2_5,under,-118,,MyBookie.ag,the_odds_api event cd1f0173ec061d9b8a8b22ab8f2f8393; bookmaker mybookieag; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Hull,Man United,1x2,away,-250,,BetMGM,the_odds_api event 95bb16d19debff3ec39919f361f072a4; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Hull,Man United,1x2,draw,360,,BetMGM,the_odds_api event 95bb16d19debff3ec39919f361f072a4; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Hull,Man United,1x2,home,625,,BetMGM,the_odds_api event 95bb16d19debff3ec39919f361f072a4; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Hull,Man United,btts,no,-130,,BetMGM,the_odds_api event 95bb16d19debff3ec39919f361f072a4; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Hull,Man United,btts,yes,-110,,BetMGM,the_odds_api event 95bb16d19debff3ec39919f361f072a4; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Hull,Man United,total_2_5,over,-145,,BetMGM,the_odds_api event 95bb16d19debff3ec39919f361f072a4; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
2026-08-22,Hull,Man United,total_2_5,under,105,,BetMGM,the_odds_api event 95bb16d19debff3ec39919f361f072a4; bookmaker betmgm; fetched 2026-08-17T16:39:44-04:00
