date,home_team,away_team,market,selection,american_odds,closing_american_odds,book,notes
2026-08-21,Arsenal,Coventry,1x2,away,1700,,BetRivers,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-23,Man City,Bournemouth,1x2,home,-205,,Bovada,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-23,Man City,Bournemouth,btts,no,146,,FanDuel,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-23,Man City,Bournemouth,btts,yes,-175,,MyBookie.ag,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-23,Newcastle,Liverpool,1x2,away,-105,,Bovada,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-23,Newcastle,Liverpool,1x2,draw,296,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-23,Newcastle,Liverpool,1x2,home,270,,BetRivers,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-23,Newcastle,Liverpool,btts,no,188,,FanDuel,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-23,Newcastle,Liverpool,btts,yes,-225,,BetMGM,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-24,Fulham,Chelsea,1x2,away,100,,BetMGM,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-24,Fulham,Chelsea,1x2,draw,295,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-24,Fulham,Chelsea,1x2,home,255,,BetOnline.ag,Provider-derived best price of 9 quote(s); no odds were invented.
2026-08-24,Fulham,Chelsea,btts,no,145,,DraftKings,Provider-derived best price of 5 quote(s); no odds were invented.
2026-08-24,Fulham,Chelsea,btts,yes,-182,,FanDuel,Provider-derived best price of 5 quote(s); no odds were invented.
